"Source:","D:\Privat\Circuit_Design\ControllerV2\Status\StatusPCB\StatusPCB.kicad_sch"
"Date:","26/09/2022 11:04:11"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","119"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","",""
"","","C2","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","",""
"","","C3","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","",""
"","","D_Bl1","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl2","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl3","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl4","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl5","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl6","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl7","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl8","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl9","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl10","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl11","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl12","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl13","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl14","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl15","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl16","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl17","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","D_Bl18","LED","Device:LED","KiCad_Libs:LED_D3.0mm","~","","","","","","","",""
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","H5","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","H6","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","",""
"","","J1","Conn_01x08","Connector_Generic:Conn_01x08","Connector_JST:JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical","~","","","","","","","",""
